               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.016676,           0.0032615,                   0,             0.99957,                   1,               0.995,             0.88006,            0.011467,           0.0018633,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.015057,           0.0037333,                   0,             0.99963,                   1,               0.995,             0.87377,             0.01181,           0.0018918,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.017097,           0.0039366,                   0,             0.99971,                   1,               0.995,             0.87406,            0.011636,           0.0018706,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.015792,           0.0037239,                   0,             0.99963,                   1,               0.995,              0.8651,            0.011877,           0.0019263,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.016357,           0.0039108,                   0,             0.99977,                   1,               0.995,             0.88118,            0.011146,           0.0018043,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.015733,           0.0039482,                   0,             0.99969,                   1,               0.995,             0.87677,            0.011324,           0.0017864,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.015291,           0.0035623,                   0,             0.99966,                   1,               0.995,             0.88492,             0.01111,           0.0018256,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.015396,           0.0038314,                   0,             0.99971,                   1,               0.995,             0.89431,            0.010654,           0.0017703,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,             0.01661,           0.0039497,                   0,             0.99974,                   1,               0.995,             0.90114,           0.0099933,           0.0016884,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.016199,           0.0041095,                   0,             0.99973,                   1,               0.995,             0.90483,            0.010163,           0.0017009,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.016163,           0.0037021,                   0,             0.99967,                   1,               0.995,             0.89553,            0.010198,            0.001689,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.016024,           0.0037536,                   0,             0.99975,                   1,               0.995,             0.88959,            0.010442,           0.0017527,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.016105,           0.0039567,                   0,             0.99967,                   1,               0.995,             0.89162,            0.010382,           0.0017312,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.014886,           0.0038822,                   0,             0.99972,                   1,               0.995,             0.89694,            0.010045,           0.0017157,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.014708,           0.0037147,                   0,             0.99973,                   1,               0.995,             0.90348,           0.0098844,           0.0016689,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.015777,           0.0034277,                   0,             0.99975,                   1,               0.995,             0.90231,            0.010377,           0.0017009,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.015936,           0.0039319,                   0,             0.99974,                   1,               0.995,             0.90625,            0.010192,           0.0017093,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.016034,           0.0043641,                   0,              0.9997,                   1,               0.995,             0.90263,           0.0097824,           0.0016377,                   0,           0.0032185,           0.0032185,           0.0032185
